def DEF
match ID
( LPAREN
a ID
, COMMA
b ID
, COMMA
c ID
) RPAREN
{ LBRACE
if IF
( LPAREN
a ID
== LOGOP
b ID
) RPAREN
{ LBRACE
print PRINT
( LPAREN
YES STRING
) RPAREN
a ID
= EQUAL
b ID
+ BINOP
3 NUM
} RBRACE
else ELSE
{ LBRACE
while WHILE
( LPAREN
b ID
< LOGOP
c ID
) RPAREN
{ LBRACE
b ID
= EQUAL
b ID
+ BINOP
1 NUM
match ID
( LPAREN
a ID
, COMMA
b ID
, COMMA
c ID
) RPAREN
} RBRACE
print PRINT
( LPAREN
NO STRING
) RPAREN
} RBRACE
} RBRACE
x ID
= EQUAL
1 NUM
for FOR
r ID
in IN
range RANGE
( LPAREN
1 NUM
, COMMA
100 NUM
) RPAREN
{ LBRACE
x ID
= EQUAL
x ID
* BINOP
r ID
if IF
( LPAREN
x ID
< LOGOP
1000000007 NUM
) RPAREN
{ LBRACE
x ID
= EQUAL
x ID
+ BINOP
1 NUM
} RBRACE
else ELSE
{ LBRACE
x ID
= EQUAL
x ID
% BINOP
1000000007 NUM
} RBRACE
match ID
( LPAREN
x ID
, COMMA
r ID
, COMMA
2 NUM
) RPAREN
} RBRACE
print PRINT
( LPAREN
COMPLETE STRING
) RPAREN
